2026-05-04T23:10:30+10:00 | INFO     | src.cli.main:eval_:60 | run dir: /Users/zariftutero/Coding/personal/zarifaziz/runs/2026-05-04T13-10-30Z
2026-05-04T23:10:30+10:00 | INFO     | src.services.evaluator:run:95 | sample seed: 1002385739
2026-05-04T23:10:30+10:00 | INFO     | src.services.evaluator:run:106 | evaluating 100 record(s) (365 turns total) on split='train' concurrency=5
2026-05-04T23:10:37+10:00 | INFO     | src.services.evaluator:_flush:128 | [1/100] Single_ADBE/2003/page_111.pdf-2 turns=2 correct=2/2
2026-05-04T23:10:38+10:00 | INFO     | src.services.evaluator:_flush:128 | [2/100] Single_RE/2012/page_31.pdf-3 turns=2 correct=2/2
2026-05-04T23:10:39+10:00 | INFO     | src.services.evaluator:_flush:128 | [3/100] Single_AMT/2014/page_64.pdf-1 turns=3 correct=3/3
2026-05-04T23:10:42+10:00 | INFO     | src.services.evaluator:_flush:128 | [4/100] Single_HUM/2018/page_129.pdf-4 turns=4 correct=4/4
2026-05-04T23:10:42+10:00 | INFO     | src.services.evaluator:_flush:128 | [5/100] Single_LMT/2016/page_85.pdf-3 turns=4 correct=4/4
2026-05-04T23:10:44+10:00 | INFO     | src.services.evaluator:_flush:128 | [6/100] Double_BLL/2006/page_108.pdf turns=2 correct=1/2
2026-05-04T23:10:45+10:00 | INFO     | src.services.evaluator:_flush:128 | [7/100] Double_GPN/2017/page_91.pdf turns=2 correct=2/2
2026-05-04T23:10:50+10:00 | INFO     | src.services.evaluator:_flush:128 | [8/100] Double_CB/2010/page_212.pdf turns=4 correct=4/4
2026-05-04T23:10:53+10:00 | INFO     | src.services.evaluator:_flush:128 | [9/100] Single_WRK/2019/page_103.pdf-1 turns=4 correct=4/4
2026-05-04T23:10:55+10:00 | INFO     | src.services.evaluator:_flush:128 | [10/100] Single_MAS/2012/page_92.pdf-1 turns=5 correct=5/5
2026-05-04T23:10:57+10:00 | INFO     | src.services.evaluator:_flush:128 | [11/100] Single_AAPL/2015/page_56.pdf-3 turns=2 correct=2/2
2026-05-04T23:10:59+10:00 | INFO     | src.services.evaluator:_flush:128 | [12/100] Single_D/2002/page_39.pdf-1 turns=5 correct=4/5
2026-05-04T23:10:59+10:00 | INFO     | src.services.evaluator:_flush:128 | [13/100] Single_PNC/2009/page_31.pdf-5 turns=4 correct=4/4
2026-05-04T23:10:59+10:00 | INFO     | src.services.evaluator:_flush:128 | [14/100] Double_HIG/2008/page_113.pdf turns=2 correct=2/2
2026-05-04T23:11:07+10:00 | INFO     | src.services.evaluator:_flush:128 | [15/100] Single_CB/2010/page_212.pdf-3 turns=5 correct=5/5
2026-05-04T23:11:09+10:00 | INFO     | src.services.evaluator:_flush:128 | [16/100] Single_CAT/2017/page_113.pdf-3 turns=4 correct=4/4
2026-05-04T23:11:12+10:00 | INFO     | src.services.evaluator:_flush:128 | [17/100] Single_ZBH/2007/page_80.pdf-1 turns=4 correct=4/4
2026-05-04T23:11:15+10:00 | INFO     | src.services.evaluator:_flush:128 | [18/100] Double_VRTX/2005/page_112.pdf turns=2 correct=2/2
2026-05-04T23:11:15+10:00 | INFO     | src.services.evaluator:_flush:128 | [19/100] Single_ABMD/2008/page_87.pdf-1 turns=5 correct=5/5
2026-05-04T23:11:16+10:00 | INFO     | src.services.evaluator:_flush:128 | [20/100] Single_APTV/2018/page_36.pdf-2 turns=6 correct=6/6
